timestamp,USDJPY,EURUSD
1697169990.9083967,149.756,1.05444
1697170050.9199045,149.756,1.05445
1697170110.927087,149.755,1.05446
1697170170.9283376,149.755,1.05455
1697170230.933894,149.755,1.05451
1697170290.9356918,149.764,1.05444
1697170350.9500804,149.745,1.0545
1697170410.9622614,149.74,1.0545
1697170470.9730816,149.734,1.05452
1697170530.9855187,149.702,1.05452
1697170590.99719,149.689,1.05455
1697170651.006102,0.0,0.0
1697170711.013752,0.0,0.0
1697170771.0141852,149.676,1.05462
1697170831.0224981,149.712,1.05457
1697170891.027569,149.71,1.05458
1697170951.036805,149.701,1.05459
1697171011.0387428,149.701,1.05461
1697171071.0511894,149.7,1.05465
1697171131.052299,149.702,1.05462
1697171191.0643892,149.71,1.05458
1697171251.0700452,149.72,1.05455
1697171311.0725014,149.721,1.05458
1697171371.082619,149.713,1.05468
1697171431.097888,149.726,1.05462
1697171491.1029878,149.725,1.05457
1697171551.1176808,149.717,1.05458
1697171611.1217885,149.712,1.05466
1697171671.1278634,149.708,1.05465
1697171731.1411996,149.708,1.05467
1697171791.1512902,149.686,1.0547
1697171851.1532779,149.668,1.05468
1697171911.1582854,149.675,1.05471
1697171971.1686478,149.667,1.0547
1697172031.1753607,149.665,1.05472
1697172091.1845064,149.645,1.05467
1697172151.2007637,149.645,1.0547
1697172211.2026904,149.644,1.05476
1697172271.2067366,149.639,1.05481
1697172331.2125604,149.631,1.05481
1697172391.2233257,149.614,1.0548
1697172451.231699,149.633,1.05477
1697172511.2427654,149.628,1.05477
1697172571.2542994,149.64,1.05477
1697172631.26444,149.649,1.05474
1697172691.278851,149.645,1.05476
1697172751.2800357,149.634,1.05477
1697172811.2913964,149.636,1.05486
1697172871.2944393,149.635,1.05486
1697172931.298075,149.645,1.05486
1697172991.3003979,149.651,1.05482
1697173051.3007874,149.656,1.05487
1697173111.3075094,149.656,1.05493
1697173171.3118346,149.659,1.05498
1697173231.315864,149.625,1.05502
1697173291.3286655,149.626,1.05506
1697173351.3345354,149.646,1.05505
1697173411.3417184,149.648,1.05501
1697173471.3512325,149.626,1.05503
1697173531.3538935,149.626,1.05496
1697173591.3567972,149.621,1.0549
1697173651.3641064,149.62,1.05495
1697173711.3657932,149.621,1.055
1697173771.3722837,149.633,1.05498
1697173831.379909,149.631,1.05501
1697173891.3851671,149.606,1.05507
1697173951.3913856,149.617,1.05501
1697174011.4008713,149.602,1.05505
1697174071.4080052,149.604,1.05508
1697174131.4230452,149.576,1.05508
1697174191.4326506,149.593,1.055
1697174251.4438932,149.578,1.05497
1697174311.452393,149.586,1.05487
1697174371.4674058,149.585,1.05486
1697174431.4754353,149.612,1.05487
1697174491.4771817,149.612,1.05488
1697174551.4803085,149.608,1.05492
1697174611.4945636,149.612,1.05491
1697174671.4981778,149.622,1.05486
1697174731.5045102,149.62,1.05485
1697174791.506764,149.629,1.05481
1697174851.5142102,149.633,1.0548
1697174911.527965,149.618,1.05484
1697174971.5304542,149.616,1.05489
1697175031.5406535,149.609,1.05493
1697175091.5452313,149.623,1.05485
1697175151.5525696,149.646,1.0548
1697175211.563355,149.646,1.05477
1697175271.5729377,149.649,1.05476
1697175331.5859487,149.646,1.05493
1697175391.5992541,149.658,1.05486
1697175451.6018665,149.655,1.05474
1697175511.615338,149.655,1.05461
1697175571.6266835,149.634,1.05462
1697175631.640752,149.642,1.05461
1697175691.652638,149.647,1.05455
1697175751.6653152,149.643,1.05452
1697175811.6666992,149.633,1.05459
1697175871.667954,149.637,1.05446
1697175931.6838083,149.647,1.05445
1697175991.697333,149.625,1.05454
1697176051.713876,149.633,1.05451
1697176111.7156541,149.63,1.05449
1697176171.7252746,149.636,1.05455
1697176231.7274134,149.636,1.05452
1697176291.7289674,149.647,1.05451
1697176351.73126,149.653,1.0546
1697176411.7464468,149.67,1.05454
1697176471.7564857,149.694,1.05446
1697176531.7600524,149.705,1.05455
1697176591.7684865,149.703,1.05455
1697176651.781497,149.714,1.05461
1697176711.785332,149.736,1.0547
1697176771.795764,149.725,1.0548
1697176831.8005528,149.694,1.05469
1697176891.8065255,149.686,1.0545
1697176951.8130455,149.681,1.0545
1697177011.827612,149.669,1.05454
1697177071.8290548,149.669,1.05435
1697177131.8351498,149.668,1.05445
1697177191.8369672,149.664,1.05449
1697177251.8438318,149.667,1.05452
1697177311.85646,149.664,1.05446
1697177371.871089,149.688,1.05428
1697177431.874019,149.713,1.05421
1697177491.87817,149.701,1.05421
1697177551.8905175,149.705,1.05426
1697177611.8926437,149.698,1.05413
1697177671.894486,149.696,1.05418
1697177731.9022024,149.712,1.05411
1697177791.908347,149.705,1.05429
1697177851.9126632,149.718,1.0543
1697177911.9283273,149.737,1.05416
1697177971.9368212,149.737,1.05398
1697178031.9458065,149.729,1.05401
1697178091.9466348,149.733,1.05406
1697178151.954679,149.734,1.05384
1697178211.9671178,149.73,1.05396
1697178271.9794974,149.73,1.0541
1697178331.992554,149.735,1.05416
1697178391.9964526,149.735,1.05418
1697178452.0102358,149.739,1.05419
1697178512.0220535,149.738,1.0541
1697178572.0244775,149.722,1.05421
1697178632.037909,149.737,1.05411
1697178692.0381932,149.738,1.0542
1697178752.0487032,149.745,1.05431
1697178812.0509684,149.75,1.05433
1697178872.051818,149.751,1.05423
1697178932.0583954,149.743,1.05416
1697178992.059301,149.741,1.05414
1697179052.0624862,149.742,1.05421
1697179112.0758033,149.742,1.05402
1697179172.086164,149.741,1.05395
1697179232.0984411,149.745,1.05391
1697179292.1064918,149.742,1.05399
1697179352.108892,149.74,1.05411
1697179412.1226783,149.729,1.05421
1697179472.1367283,149.723,1.05419
1697179532.1398244,149.719,1.05429
1697179592.148009,149.72,1.05441
1697179652.1527703,149.739,1.05426
1697179712.1546345,149.748,1.05417
1697179772.1603215,149.73,1.05412
1697179832.1628113,149.736,1.05395
1697179892.1782506,149.74,1.05391
1697179952.1843493,149.75,1.05391
1697180012.186613,149.751,1.05374
1697180072.1948156,149.76,1.05361
1697180132.2102005,149.76,1.05345
1697180192.222603,149.758,1.05346
1697180252.2339344,149.751,1.05354
1697180312.2407956,149.74,1.05372
1697180372.2459214,149.746,1.05363
1697180432.2604105,149.729,1.05375
1697180492.263284,149.719,1.05372
1697180552.269412,149.688,1.05374
1697180612.2779408,149.671,1.05359
1697180672.289929,149.677,1.05356
1697180732.2974224,149.7,1.05331
1697180792.3068542,149.685,1.05316
1697180852.320111,149.698,1.05329
1697180912.3350873,149.698,1.05361
1697180972.3427453,149.684,1.05358
